SYEAR,SMTH,LF_STAT,NAICS_5,_COUNT_
,,Unemployed,04413,4250
,,Unemployed,04421,10500
,,Unemployed,04422,3500
,,Unemployed,04431,9250
,,Unemployed,04441,14500
,,Unemployed,04442,1000
,,Unemployed,04451,69000
,,Unemployed,04452,12000
,,Unemployed,04453,8250
,,Unemployed,04461,26250
,,Unemployed,04471,750
,,Unemployed,04481,56750
,,Unemployed,04482,7000
,,Unemployed,04483,4000
,,Unemployed,04511,9250
,,Unemployed,04513,1500
,,Unemployed,04521,24000
,,Unemployed,04529,18750
,,Unemployed,04531,5000
,,Unemployed,04532,2500
,,Unemployed,04533,6000
,,Unemployed,04539,20750
,,Unemployed,04541,15500
,,Unemployed,04542,0
,,Unemployed,04543,1250
,,Unemployed,04811,15000
,,Unemployed,04812,1250
,,Unemployed,04821,6500
,,Unemployed,04831,4250
,,Unemployed,04832,500
,,Unemployed,04841,17750
,,Unemployed,04842,16500
,,Unemployed,04851,500
,,Unemployed,04852,0
,,Unemployed,04853,4000
,,Unemployed,04854,2000
,,Unemployed,04855,250
,,Unemployed,04859,1000
,,Unemployed,04861,1000
,,Unemployed,04862,0
,,Unemployed,04869,0
,,Unemployed,04871,1000
,,Unemployed,04872,2000
,,Unemployed,04879,0
,,Unemployed,04881,7000
,,Unemployed,04882,0
,,Unemployed,04883,5250
,,Unemployed,04884,7750
,,Unemployed,04885,3250
,,Unemployed,04889,250
,,Unemployed,04911,3250
,,Unemployed,04921,9500
,,Unemployed,04922,8250
,,Unemployed,04931,8500
,,Unemployed,05111,8500
,,Unemployed,05112,5000
,,Unemployed,05121,92000
,,Unemployed,05122,2250
,,Unemployed,05151,4500
,,Unemployed,05152,0
,,Unemployed,05173,7000
,,Unemployed,05174,0
,,Unemployed,05179,750
,,Unemployed,05182,0
,,Unemployed,05191,1750
,,Unemployed,05221,20750
,,Unemployed,05222,1000
,,Unemployed,05223,500
,,Unemployed,05231,4250
,,Unemployed,05232,0
,,Unemployed,05239,6500
,,Unemployed,05241,4250
,,Unemployed,05242,6500
,,Unemployed,05261,0
,,Unemployed,05269,0
,,Unemployed,05311,5750
,,Unemployed,05312,4500
,,Unemployed,05313,4500
,,Unemployed,05321,0
,,Unemployed,05322,1250
,,Unemployed,05323,0
,,Unemployed,05324,1250
,,Unemployed,05331,0
,,Unemployed,05411,24750
,,Unemployed,05412,23250
,,Unemployed,05413,31500
,,Unemployed,05414,9000
,,Unemployed,05415,57250
,,Unemployed,05416,12500
,,Unemployed,05417,6750
,,Unemployed,05418,12250
,,Unemployed,05419,17500
,,Unemployed,05611,0
,,Unemployed,05613,16500
,,Unemployed,05614,6250
,,Unemployed,05615,9250
,,Unemployed,05616,18000
,,Unemployed,05617,79000
,,Unemployed,05619,5000
,,Unemployed,05621,10750
,,Unemployed,05622,5250
,,Unemployed,05629,500
,,Unemployed,06111,105000
,,Unemployed,06112,12500
,,Unemployed,06113,44000
,,Unemployed,06114,500
,,Unemployed,06115,1750
,,Unemployed,06116,12000
,,Unemployed,06117,3500
,,Unemployed,06211,8750
,,Unemployed,06212,12000
,,Unemployed,06213,5750
,,Unemployed,06214,2500
,,Unemployed,06215,6250
,,Unemployed,06216,2250
,,Unemployed,06219,1500
,,Unemployed,06220,50500
,,Unemployed,06230,28500
,,Unemployed,06241,19250
,,Unemployed,06242,2500
,,Unemployed,06243,750
,,Unemployed,06244,25250
,,Unemployed,07111,3250
,,Unemployed,07112,1750
,,Unemployed,07113,2500
,,Unemployed,07114,2250
,,Unemployed,07115,6000
,,Unemployed,07121,5500
,,Unemployed,07131,3250
,,Unemployed,07132,14250
,,Unemployed,07139,74000
,,Unemployed,07211,43500
,,Unemployed,07212,4250
,,Unemployed,07213,0
,,Unemployed,07223,10250
,,Unemployed,07224,10250
,,Unemployed,07225,234500
,,Unemployed,08111,15500
,,Unemployed,08112,2000
,,Unemployed,08113,9500
,,Unemployed,08114,5500
,,Unemployed,08121,12750
,,Unemployed,08122,1000
,,Unemployed,08123,1500
,,Unemployed,08129,3500
,,Unemployed,08131,4750
,,Unemployed,08132,1000
,,Unemployed,08133,1000
,,Unemployed,08134,3500
,,Unemployed,08139,6000
,,Unemployed,08141,6500
,,Unemployed,09110,12250
,,Unemployed,09111,2250
,,Unemployed,09120,19000
,,Unemployed,09130,13250
,,Unemployed,09141,8500
,,Unemployed,09191,0
,,Unknown,,5367750
,,Unknown,01100,9750
,,Unknown,01111,1000
